"","Link","Anchor Text","grp"
"47","https://oucc.dasa.ncsu.edu/wildlife-sciences-15wscim/","wildlife sciences (15wscim) |","D_T_grey"
"48","http://www.carepest.com/","care pest & wildlife control – vancouver pest controlpest control ...","D_T_grey"
"49","http://search.ndltd.org/show.php?id=oai%3Aunion.ndltd.org%3AADTP%2F248243&back=http%3A%2F%2Fsearch.ndltd.org%2Fsearch.php%3Fq%3D%2528manage%2A%2BOR%2Bcontrol%2A%2BOR%2Bcull%2A%2BOR%2Beradicat%2A%2BOR%2Bexterminat%2A%2529%2BAND%2B%2528attitude%2A%2BOR%2Bvalue%2A%2BOR%2Bperception%2A%2BOR%2Bresponse%2A%2BOR%2Breaction%2A%2BOR%2Bopinion%2A%2BOR%2Baccept%2A%2BOR%2Bbelief%2A%2BOR%2Bpreference%2A%2529%2BAND%2B%2528mammal%2BOR%2Bbird%2BOR%2Breptile%2BOR%2Bamphibian%2BOR%2Bvertebrate%2BOR%2Bwildlife%2529","the impacts of human-mediated disturbances on birds and reptiles in tropical savannas","D_T_grey"
"50","http://search.ndltd.org/show.php?id=oai%3Aunion.ndltd.org%3AUTAHS%2Foai%3Adigitalcommons.usu.edu%3Aetd-2691&back=http%3A%2F%2Fsearch.ndltd.org%2Fsearch.php%3Fq%3D%2528manage%2A%2BOR%2Bcontrol%2A%2BOR%2Bcull%2A%2BOR%2Beradicat%2A%2BOR%2Bexterminat%2A%2529%2BAND%2B%2528attitude%2A%2BOR%2Bvalue%2A%2BOR%2Bperception%2A%2BOR%2Bresponse%2A%2BOR%2Breaction%2A%2BOR%2Bopinion%2A%2BOR%2Baccept%2A%2BOR%2Bbelief%2A%2BOR%2Bpreference%2A%2529%2BAND%2B%2528mammal%2BOR%2Bbird%2BOR%2Breptile%2BOR%2Bamphibian%2BOR%2Bvertebrate%2BOR%2Bwildlife%2529","the introduced fishes  game birds  and game and fur-bearing mammals of utah","D_T_grey"
"51","http://search.ndltd.org/show.php?id=oai%3Aunion.ndltd.org%3ALACETR%2Foai%3Acollectionscanada.gc.ca%3ABVAU.2429%2F45333&back=http%3A%2F%2Fsearch.ndltd.org%2Fsearch.php%3Fq%3D%2528manage%252A%2BOR%2Bcontrol%252A%2BOR%2Bcull%252A%2BOR%2Beradicat%252A%2BOR%2Bexterminat%252A%2529%2BAND%2B%2528attitude%252A%2BOR%2Bvalue%252A%2BOR%2Bperception%252A%2BOR%2Bresponse%252A%2BOR%2Breaction%252A%2BOR%2Bopinion%252A%2BOR%2Baccept%252A%2BOR%2Bbelief%252A%2BOR%2Bpreference%252A%2529%2BAND%2B%2528mammal%2BOR%2Bbird%2BOR%2Breptile%2BOR%2Bamphibian%2BOR%2Bvertebrate%2BOR%2Bwildlife%2529%26start%3D20","lions and tigers and bears : an investigation of the state of conservation in zoos","D_T_grey"
"52","http://search.ndltd.org/show.php?id=oai%3Aunion.ndltd.org%3ADUKE%2Foai%3Adukespace.lib.duke.edu%3A10161%2F885&back=http%3A%2F%2Fsearch.ndltd.org%2Fsearch.php%3Fq%3D%2528manage%252A%2BOR%2Bcontrol%252A%2BOR%2Bcull%252A%2BOR%2Beradicat%252A%2BOR%2Bexterminat%252A%2529%2BAND%2B%2528attitude%252A%2BOR%2Bvalue%252A%2BOR%2Bperception%252A%2BOR%2Bresponse%252A%2BOR%2Breaction%252A%2BOR%2Bopinion%252A%2BOR%2Baccept%252A%2BOR%2Bbelief%252A%2BOR%2Bpreference%252A%2529%2BAND%2B%2528mammal%2BOR%2Bbird%2BOR%2Breptile%2BOR%2Bamphibian%2BOR%2Bvertebrate%2BOR%2Bwildlife%2529%26start%3D20","mammal diversity  persistence  and conservation in india","D_T_grey"
"53","http://search.ndltd.org/show.php?id=oai%3Aunion.ndltd.org%3Abl.uk%2Foai%3Aethos.bl.uk%3A655489&back=http%3A%2F%2Fsearch.ndltd.org%2Fsearch.php%3Fq%3D%2528manage%252A%2BOR%2Bcontrol%252A%2BOR%2Bcull%252A%2BOR%2Beradicat%252A%2BOR%2Bexterminat%252A%2529%2BAND%2B%2528attitude%252A%2BOR%2Bvalue%252A%2BOR%2Bperception%252A%2BOR%2Bresponse%252A%2BOR%2Breaction%252A%2BOR%2Bopinion%252A%2BOR%2Baccept%252A%2BOR%2Bbelief%252A%2BOR%2Bpreference%252A%2529%2BAND%2B%2528mammal%2BOR%2Bbird%2BOR%2Breptile%2BOR%2Bamphibian%2BOR%2Bvertebrate%2BOR%2Bwildlife%2529%26start%3D20","monitoring european pine martens (martes martes) in scottish forested landscapes","D_T_grey"
"54","http://search.ndltd.org/show.php?id=oai%3Aunion.ndltd.org%3Abl.uk%2Foai%3Aethos.bl.uk%3A512626&back=http%3A%2F%2Fsearch.ndltd.org%2Fsearch.php%3Fq%3D%2528manage%252A%2BOR%2Bcontrol%252A%2BOR%2Bcull%252A%2BOR%2Beradicat%252A%2BOR%2Bexterminat%252A%2529%2BAND%2B%2528attitude%252A%2BOR%2Bvalue%252A%2BOR%2Bperception%252A%2BOR%2Bresponse%252A%2BOR%2Breaction%252A%2BOR%2Bopinion%252A%2BOR%2Baccept%252A%2BOR%2Bbelief%252A%2BOR%2Bpreference%252A%2529%2BAND%2B%2528mammal%2BOR%2Bbird%2BOR%2Breptile%2BOR%2Bamphibian%2BOR%2Bvertebrate%2BOR%2Bwildlife%2529%26start%3D30","wildlife tourism : tourist expectations experiences and management implications","D_T_grey"
"55","http://search.ndltd.org/show.php?id=oai%3Aunion.ndltd.org%3ALSU%2Foai%3Aetd.lsu.edu%3Aetd-08192005-145124&back=http%3A%2F%2Fsearch.ndltd.org%2Fsearch.php%3Fq%3D%2528manage%252A%2BOR%2Bcontrol%252A%2BOR%2Bcull%252A%2BOR%2Beradicat%252A%2BOR%2Bexterminat%252A%2529%2BAND%2B%2528attitude%252A%2BOR%2Bvalue%252A%2BOR%2Bperception%252A%2BOR%2Bresponse%252A%2BOR%2Breaction%252A%2BOR%2Bopinion%252A%2BOR%2Baccept%252A%2BOR%2Bbelief%252A%2BOR%2Bpreference%252A%2529%2BAND%2B%2528mammal%2BOR%2Bbird%2BOR%2Breptile%2BOR%2Bamphibian%2BOR%2Bvertebrate%2BOR%2Bwildlife%2529%26start%3D30","associations of avian and herpetofauna communities with forest management at multiple spatial scales","D_T_grey"
"56","http://search.ndltd.org/show.php?id=oai%3Aunion.ndltd.org%3ALACETR%2Foai%3Acollectionscanada.gc.ca%3ASSU.etd-05132009-140425&back=http%3A%2F%2Fsearch.ndltd.org%2Fsearch.php%3Fq%3D%2528manage%252A%2BOR%2Bcontrol%252A%2BOR%2Bcull%252A%2BOR%2Beradicat%252A%2BOR%2Bexterminat%252A%2529%2BAND%2B%2528attitude%252A%2BOR%2Bvalue%252A%2BOR%2Bperception%252A%2BOR%2Bresponse%252A%2BOR%2Breaction%252A%2BOR%2Bopinion%252A%2BOR%2Baccept%252A%2BOR%2Bbelief%252A%2BOR%2Bpreference%252A%2529%2BAND%2B%2528mammal%2BOR%2Bbird%2BOR%2Breptile%2BOR%2Bamphibian%2BOR%2Bvertebrate%2BOR%2Bwildlife%2529%26start%3D30","vertebrate palaeoichnology of the lower cretaceous (lower albian) gates formation of alberta","D_T_grey"
"57","http://search.ndltd.org/show.php?id=oai%3Aunion.ndltd.org%3AADTP%2F215265&back=http%3A%2F%2Fsearch.ndltd.org%2Fsearch.php%3Fq%3D%2528manage%252A%2BOR%2Bcontrol%252A%2BOR%2Bcull%252A%2BOR%2Beradicat%252A%2BOR%2Bexterminat%252A%2529%2BAND%2B%2528attitude%252A%2BOR%2Bvalue%252A%2BOR%2Bperception%252A%2BOR%2Bresponse%252A%2BOR%2Breaction%252A%2BOR%2Bopinion%252A%2BOR%2Baccept%252A%2BOR%2Bbelief%252A%2BOR%2Bpreference%252A%2529%2BAND%2B%2528mammal%2BOR%2Bbird%2BOR%2Breptile%2BOR%2Bamphibian%2BOR%2Bvertebrate%2BOR%2Bwildlife%2529%26start%3D40","maximising the effectiveness of aerial 1080 control of possums (trichosurus vulpecula)","D_T_grey"
"58","http://search.ndltd.org/show.php?id=oai%3Aunion.ndltd.org%3Anusl.cz%2Foai%3Ainvenio.nusl.cz%3A50720&back=http%3A%2F%2Fsearch.ndltd.org%2Fsearch.php%3Fq%3D%2528manage%252A%2BOR%2Bcontrol%252A%2BOR%2Bcull%252A%2BOR%2Beradicat%252A%2BOR%2Bexterminat%252A%2529%2BAND%2B%2528attitude%252A%2BOR%2Bvalue%252A%2BOR%2Bperception%252A%2BOR%2Bresponse%252A%2BOR%2Breaction%252A%2BOR%2Bopinion%252A%2BOR%2Baccept%252A%2BOR%2Bbelief%252A%2BOR%2Bpreference%252A%2529%2BAND%2B%2528mammal%2BOR%2Bbird%2BOR%2Breptile%2BOR%2Bamphibian%2BOR%2Bvertebrate%2BOR%2Bwildlife%2529%26start%3D70","vliv zpusobu hospodarení na biodiverzitu modelových skupin obratlovcu {--} drobní savci. the influence of management on biodiversity of vertebrates model groups {--} small mammals.","D_T_grey"
"59","http://search.ndltd.org/show.php?id=oai%3Aunion.ndltd.org%3AUTAHS%2Foai%3Adigitalcommons.usu.edu%3Aetd-6365&back=http%3A%2F%2Fsearch.ndltd.org%2Fsearch.php%3Fq%3D%2528manage%252A%2BOR%2Bcontrol%252A%2BOR%2Bcull%252A%2BOR%2Beradicat%252A%2BOR%2Bexterminat%252A%2529%2BAND%2B%2528attitude%252A%2BOR%2Bvalue%252A%2BOR%2Bperception%252A%2BOR%2Bresponse%252A%2BOR%2Breaction%252A%2BOR%2Bopinion%252A%2BOR%2Baccept%252A%2BOR%2Bbelief%252A%2BOR%2Bpreference%252A%2529%2BAND%2B%2528mammal%2BOR%2Bbird%2BOR%2Breptile%2BOR%2Bamphibian%2BOR%2Bvertebrate%2BOR%2Bwildlife%2529%26start%3D70","evaluation of wildlife depredation at fish hatcheries in the intermountain west","D_T_grey"
"60","http://search.ndltd.org/show.php?id=oai%3Aunion.ndltd.org%3Abl.uk%2Foai%3Aethos.bl.uk%3A667000&back=http%3A%2F%2Fsearch.ndltd.org%2Fsearch.php%3Fq%3D%2528manage%252A%2BOR%2Bcontrol%252A%2BOR%2Bcull%252A%2BOR%2Beradicat%252A%2BOR%2Bexterminat%252A%2529%2BAND%2B%2528attitude%252A%2BOR%2Bvalue%252A%2BOR%2Bperception%252A%2BOR%2Bresponse%252A%2BOR%2Breaction%252A%2BOR%2Bopinion%252A%2BOR%2Baccept%252A%2BOR%2Bbelief%252A%2BOR%2Bpreference%252A%2529%2BAND%2B%2528mammal%2BOR%2Bbird%2BOR%2Breptile%2BOR%2Bamphibian%2BOR%2Bvertebrate%2BOR%2Bwildlife%2529%26start%3D60","at-sea behaviour in marine birds : a life-history perspective","D_T_grey"
"61","http://search.ndltd.org/show.php?id=oai%3Aunion.ndltd.org%3AVTETD%2Foai%3AVTETD%3Aetd-12242005-175725&back=http%3A%2F%2Fsearch.ndltd.org%2Fsearch.php%3Fq%3D%2528manage%252A%2BOR%2Bcontrol%252A%2BOR%2Bcull%252A%2BOR%2Beradicat%252A%2BOR%2Bexterminat%252A%2529%2BAND%2B%2528attitude%252A%2BOR%2Bvalue%252A%2BOR%2Bperception%252A%2BOR%2Bresponse%252A%2BOR%2Breaction%252A%2BOR%2Bopinion%252A%2BOR%2Baccept%252A%2BOR%2Bbelief%252A%2BOR%2Bpreference%252A%2529%2BAND%2B%2528mammal%2BOR%2Bbird%2BOR%2Breptile%2BOR%2Bamphibian%2BOR%2Bvertebrate%2BOR%2Bwildlife%2529%26start%3D90","model validation and improvement using new data on habitat characteristics important to forest salamanders  and short-term effects of forestry practices on salamander movement and population estimates","D_T_grey"
"62","http://search.ndltd.org/show.php?id=oai%3Aunion.ndltd.org%3AMSSTATE%2Foai%3Alibrary.msstate.edu%3Aetd-03092016-180255&back=http%3A%2F%2Fsearch.ndltd.org%2Fsearch.php%3Fq%3D%2528manage%252A%2BOR%2Bcontrol%252A%2BOR%2Bcull%252A%2BOR%2Beradicat%252A%2BOR%2Bexterminat%252A%2529%2BAND%2B%2528attitude%252A%2BOR%2Bvalue%252A%2BOR%2Bperception%252A%2BOR%2Bresponse%252A%2BOR%2Breaction%252A%2BOR%2Bopinion%252A%2BOR%2Baccept%252A%2BOR%2Bbelief%252A%2BOR%2Bpreference%252A%2529%2BAND%2B%2528mammal%2BOR%2Bbird%2BOR%2Breptile%2BOR%2Bamphibian%2BOR%2Bvertebrate%2BOR%2Bwildlife%2529%26start%3D90","ecological determinants of avian productivity and aviation risk in semi-natural grasslands","D_T_grey"
"63","http://search.ndltd.org/show.php?id=oai%3Aunion.ndltd.org%3AMETU%2Foai%3Aetd.lib.metu.edu.tr%3Ahttp%3A%2F%2Fetd.lib.metu.edu.tr%2Fupload%2F3%2F12609974%2Findex.pdf&back=http%3A%2F%2Fsearch.ndltd.org%2Fsearch.php%3Fq%3D%2528manage%252A%2BOR%2Bcontrol%252A%2BOR%2Bcull%252A%2BOR%2Beradicat%252A%2BOR%2Bexterminat%252A%2529%2BAND%2B%2528attitude%252A%2BOR%2Bvalue%252A%2BOR%2Bperception%252A%2BOR%2Bresponse%252A%2BOR%2Breaction%252A%2BOR%2Bopinion%252A%2BOR%2Baccept%252A%2BOR%2Bbelief%252A%2BOR%2Bpreference%252A%2529%2BAND%2B%2528mammal%2BOR%2Bbird%2BOR%2Breptile%2BOR%2Bamphibian%2BOR%2Bvertebrate%2BOR%2Bwildlife%2529%26start%3D80","camera trapping large mammals in yenice forest habitats: a feasibility study for camera trapping large mammals in yenice forests","D_T_grey"
"64","http://dspace.unza.zm:8080/xmlui/handle/123456789/4623","an assessment of tourism development in kafue national park-north .","D_T_grey"
"65","http://www.lib.ncsu.edu/resolver/1840.16/1798 ","long-term response of herpetofauna and soricids to prescribed fire and fuel reduction treatments in the southern appalachian mountains.","D_T_grey"
"66","http://opus.ipfw.edu/masters_theses/43","wetland habitat and occupancy of the imperiled copper-bellied watersnake (nerodia erythrogaster neglecta) and other herpetofauna.","D_T_grey"
"67","http://hdl.handle.net/1969.1/ETD-TAMU-2003-THESIS-M374","woody plant and wintering grassland bird responses to summer prescribed burning in grazed and ungrazed texas mid-coastal prairies","D_T_grey"
"68","http://hdl.handle.net/10415/3061","physiological effects of chytridiomycosis, a cause of amphibianpopulation declines .","D_T_grey"
"69","https://etda.libraries.psu.edu/catalog/9671","the effects of oil and gas development on forest fragmentation and breeding bird populations in the allegheny national forest.","D_T_grey"
"70","http://ro.uow.edu.au/theses/3845","investigations into the ecology and management of a nuisance native bird in urban environments: the australian white ibis.","D_T_grey"
"71","http://hdl.handle.net/1885/101799","a tactics-based approach for improving the outcomes of eastern bettong (bettongia gaimardi) reintroductions .","D_T_grey"
"72","http://etd.lsu.edu/docs/available/etd-07132015-015315/","if you build it, what will come? assessing the avian response to wetland restoration in the mississippi river birds foot delta through multiple measures of density and biodiversity.","D_T_grey"
"73","http://hdl.handle.net/10523/4306","the role of epigenetics in amphibian regeneration .","D_T_grey"
"74","http://hdl.handle.net/1813/31146","sublethal effects of polychlorinated biphenyls (pcbs) on bird behavior .","D_T_grey"
"75","http://sun.library.msstate.edu/ETD-db/theses/available/etd-04042007-105455/","factors influencing avian community structure in bottomland hardwood forests of the southeastern united states.","D_T_grey"
"76","http://scholarworks.uvm.edu/graddis/392","habitat use by early successional bird species along powerline rights of way: making connections across private lands.","D_T_grey"
"77","http://hdl.handle.net/1842/5675","parasites and life history variation in a wild mammal.","D_T_grey"
"78","http://purl.galileo.usg.edu/uga_etd/siegel_james_j_200808_phd","cooperative management of toppenish creek wetlands in central washington: a question of history, culture and sovereignty.","D_T_grey"
"79","http://hdl.handle.net/2148/954","the history of the american national parks.","D_T_grey"
"80","https://repository.tudelft.nl/islandora/object/uuid:489bfa58-38fb-4bb9-8af7-a22e10193a40/datastream/OBJ/download","masters thesis: value analysis of integral bird control at an airport","D_T_grey"
"81","https://repository.tudelft.nl/islandora/object/uuid%3A489bfa58-38fb-4bb9-8af7-a22e10193a40","value analysis of integral bird control at an airport | tu delft ...","D_T_grey"
"82","http://digitalcommons.unl.edu/cgi/viewcontent.cgi?article=1382&context=icwdm_usdanwrc","economics in wildlife damage management studies: common ...","D_T_grey"
"83","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1278834/","the initiation and maintenance of bradycardia in a diving mammal ...","D_T_grey"
"84","http://research.ku.dk/search/?pure=en/publications/understanding-the-cognitive-basis-for-humanwildlife-relationships-as-a-key-to-successful-protectedarea-management(bdc3e0c0-4a84-40b5-8d49-fd9d03900d90)/export.html","understanding the cognitive basis for human-wildlife relationships ...","D_T_grey"
"85","http://scholarworks.umass.edu/cgi/viewcontent.cgi?article=1069&context=nerr","attitudes of park visitors toward wildlife and black bear management","D_T_grey"
"86","http://digitalcommons.unl.edu/gpwdcwp/38/","great plains wildlife damage control workshop proceedings","D_T_grey"
"87","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5478067/","assessing the impact of revegetation and weed control on urban ...","D_T_grey"
"88","http://digitalcommons.unl.edu/cgi/viewcontent.cgi?article=1006&context=nwrccontraception","human dimensions of contraception in wildlife management","D_T_grey"
"89","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3547042/","innovative techniques for estimating illegal activities in a human ...","D_T_grey"
"90","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4000777/","effects of land use on bird populations and pest control services on ...","D_T_grey"
"91","https://repository.up.ac.za/handle/2263/60128","livestock production and animal health management systems in communal farming areas at the wildlife-livestock interface in south africa","D_T_grey"
"92","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2847921/","olfactory response termination involves ca2+-atpase in vertebrate ...","D_T_grey"
"93","http://digitalcommons.unl.edu/cgi/viewcontent.cgi?article=1773&context=icwdm_usdanwrc","wildlife responses to vegetation height management in cool ...","D_T_grey"
"94","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4712025/","reversible optogenetic control of subcellular protein localization ...","D_T_grey"
"95","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5079583/","breeding  early-successional bird response to forest harvests","D_T_grey"
"96","Proquest","attitude-strength and support of recreation management strategies","D_T_grey"
"97","Proquest","conflicts and choices in biodiversity preservation","D_T_grey"
"98","Proquest","noxious facilities and host community response: a causal framework","D_T_grey"
"99","Proquest","becoming a pest: prairie dog ecology and the human economy in the euroamerican west","D_T_grey"
"100","Proquest","the influence of acorn on annual variation in rodent and bird populations","D_T_grey"
"101","Proquest","public attitudes and knowledge of the black-tailed prairie dog: a common and controversial species","D_T_grey"
"102","Proquest","changing exploitation of terrestrial vertebrates during the past 3000 years on tobago, west indies","D_T_grey"
"103","Proquest","the use and abuse of developmental data","D_T_grey"
"104","Proquest","attitudes of the michigan public and wildlife agency personnel toward lethal wildlife management","D_T_grey"
"105","Proquest","west nile virus and wildlife","D_T_grey"
"106","Proquest","advances in the conservation of british mammals, 1954-2004: 50 years of progress with the mammal society","D_T_grey"
"107","Proquest","efficacy of aircraft landing lights in stimulating avoidance behavior in birds","D_T_grey"
"108","Proquest","forestry herbicide influences on biodiversity and wildlife habitat in southern forests","D_T_grey"
"109","Proquest","exposure of non-target small mammals to rodenticides: short-term effects, recovery and implications for secondary poisoning","D_T_grey"
"110","http://scotland.forestry.gov.uk/","homepage - forestry commission scotland","D_T_grey"
"111","https://www.sciencedirect.com/science/article/pii/S0006320714000391","high-value natural resources: linking wildlife conservation ...","D_T_grey"
"112","http://www.smru.st-andrews.ac.uk/","smru | sea mammal research unit","D_T_grey"
"113","https://midwestfishwildlifeconferen2018.sched.com/event/D0vO/carnivores-public-preferences-for-management-actions-in-response-to-various-black-bear-human-interactions","midwest fish & wildlife conference 2018: carnivores: public ...","D_T_grey"
"114","https://www.sciencedirect.com/science/article/pii/S0378112717300452","response of bird community structure to habitat management in ...","D_T_grey"
"115","http://www.gwct.org.uk/","game & wildlife conservation trust","D_T_grey"
"116","https://faunalytics.org/feature-article/public-opinion-on-wildlife-species-management-in-vermont/","public opinion on wildlife species management in vermont ...","D_T_grey"
"117","http://www.birdlife.org/","birdlife | partnership for nature and people","D_T_grey"
