Link, Anchor Text
https://www.nytimes.com/2016/09/30/opinion/wildlife-management-the-view-from-washington.html, Wildlife Management: The View From Washington - The New York Times
http://downloads.gigl.org.uk/website/Reptile%20Habitat%20Management%20Handbook.pdf, Reptile Habitat Management Handbook - Greenspace Information for ...
http://www.helcom.fi/action-areas/response-to-spills/oiled-wildlife-response, Oiled wildlife response - HELCOM
https://www1.bournemouth.ac.uk/study/courses/mres-scholarship-enhancing-wildlife-value-brownsea-grazing-management-0, Enhancing the wildlife value of Brownsea by grazing management
http://www.publish.csiro.au/wr/WR04042, Wildlife management in Australasia: perceptions ... - CSIRO Publishing
http://www.skyraiders.co.uk/portfolio-item/falconry-response/, Falconry Response - Sky Raiders - Falconry Pest Control
https://www.indeed.co.uk/Wildlife-Control-jobs, Wildlife Control Jobs - November 2017 | Indeed.co.uk
http://digitalcommons.unl.edu/cgi/viewcontent.cgi?article=1000&context=nwrchumanconflicts, fundamentals of economic principles and wildlife management
https://www.allaboutbirds.org/analysis-the-economic-value-of-birds/, Analysis: The Economic Value of Birds | All About Birds
https://academic.oup.com/bioscience/article/56/2/144/274023, Ethics for Wildlife Conservation: Overcoming the Human–Nature ...
http://www.timescolonist.com/opinion/op-ed/comment-wildlife-management-reform-is-long-overdue-1.21795751, Comment: Wildlife-management reform is long overdue - Times Colonist
http://aep.alberta.ca/fish-wildlife/wildlife-management/default.aspx, Wildlife Management | AEP - Environment and Parks
https://www.jstor.org/stable/42606968, Zimbabwe's CAMPFIRE programme: using the high value of wildlife ...
http://animalstudiesrepository.org/cgi/viewcontent.cgi?article=1012&context=acwp_ehlm, The Ethics of Wildlife Control in Humanized Landscapes
https://birdcontrolgroup.com/real-estate/, Bird Control Group: Adding value to real estate
https://www.oilspillresponse.com/services/member-response-services/oiled-wildlife-response-services/, Oiled Wildlife Response Services - Oil Spill Response Limited
http://publications.naturalengland.org.uk/file/5889613017120768, The Effectiveness of Ditch Management for Wildlife in the Broads and ...
https://www.dfg.ca.gov/ospr/, Office of Spill Prevention and Response
https://www.bird-rescue.org/about/our-team.aspx, International Bird Rescue - About - Our Team - Staff and response team
http://www.agricology.co.uk/resources/people-skills-biodiversity/increasing-value-hedges-wildlife-relaxed-cutting-regimes, Increasing the value of hedges for wildlife with relaxed cutting regimes ...
https://www.fws.gov/partners/docs/farmbill/fwfball.pdf, Fish and Wildlife Response to Farm Bill Conservation Practices
https://www.unodc.org/southeastasiaandpacific/en/2017/06/wildlife-crime-thailand/story.html, Addressing gaps in the criminal justice response to wildlife crime in ...
https://www.fs.fed.us/psw/publications/documents/psw_gtr191/psw_gtr191_0101-0106_wood.pdf, Predicting Bird Response to Alternative Management ... - Forest Service
http://www.bioone.org/doi/pdf/10.3375/043.034.0103, Vegetative and Bird Community Response to Management ... - BioOne
https://www.eliminatesolutions.co.uk/falconry-response-west-lothian/, Bird Control | Falconry Response West Lothian Scotland - Eliminate Ltd
https://www.theguardian.com/environment/2016/aug/11/balkan-wildlife-faces-extinction-threat-from-border-fence-to-control-migrants, Balkan wildlife faces extinction threat from border fence to control ...
http://www.uvm.edu/rsenr/wfb175/Manfredo%20Teel%20%26%20Bright%202003.pdf, Why Are Public Values Toward Wildlife Changing?
http://documents.worldbank.org/curated/en/608621468139780146/Whats-driving-the-wildlife-trade-A-review-of-expert-opinion-on-economic-and-social-drivers-of-the-wildlife-trade-and-trade-control-efforts-in-Cambodia-Indonesia-Lao-PDR-and-Vietnam, What's driving the wildlife trade? A review of expert opinion on ...
http://www.oiledwildlife.eu/response/response-options/management-affected-live-animals, Management of affected live animals | Oiledwildlife.eu
https://www.cbd.int/sustainable/swm.shtml, Sustainable Wildlife Management
https://djcase.com/work/wildlife-management-messaging-20-years-sustained-success-illinois, Wildlife management messaging - 20 years of sustained success in ...
https://www.gov.uk/guidance/compensation-for-animals-culled-to-control-animal-diseases, Compensation for animals culled to control animal diseases - GOV.UK
http://dpipwe.tas.gov.au/wildlife-management/marine-conservation-program/marine-mammal-incident-response, Marine Mammal Incident Response
https://extension.psu.edu/dead-wood-for-wildlife, Dead Wood for Wildlife - Penn State Extension
https://www.wildlifevictoria.org.au/, Wildlife Victoria: Australian Wildlife Emergency Response
https://tristatebird.org/oil-spill-response-and-services/, Oil Spill Response and Services - Tristate Bird Rescue
https://www.dpaw.wa.gov.au/management/marine/marine-wildlife/64-whales-and-dolphins, Marine wildlife response - Parks and Wildlife Service
http://www.penv.com.au/services/oiled-wildlife-response/, Oiled Wildlife Response – Pendoley Environmental
https://www.epa.gov/wetlands/migratory-bird-initiatives, Migratory Bird Initiatives | Wetlands Protection and Restoration | US EPA
http://www.trafficj.org/publication/08_what's_driving_the_wildlife_trade.pdf, What's driving the wildlife trade? A Review of expert opinion on ...
http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0165070, Breeding Early-Successional Bird Response to Forest Harvests 
https://comptroller.texas.gov/taxes/property-tax/ag-timber/index.php, Agricultural  Timber Land and Wildlife Management Use 
http://www.environment.nsw.gov.au/resources/cpp/AssessHabitat.pdf, Conservation Management Notes - Assessing Wildlife Habitat
http://cpw.state.co.us/rav-response-conservation-reserve, Colorado Parks & Wildlife - Avian Response to Conservation Reserve ...
https://www.ecohealthalliance.org/program/iucn-ssc-whsg, IUCN SSC Wildlife Health Specialist Group - EcoHealth Alliance
https://www.rhs.org.uk/advice/profile?PID=551, Wildlife in gardens/RHS Gardening
http://www.smarterservices.co.uk/specialist-facility-management-services/bird-control-services/, Bird Control Services & Ethical Pest Control From Smarter Services
https://www.lawcom.gov.uk/project/wildlife-law/, Wildlife Law | Law Commission
http://www.nj.gov/dep/fgw/bearfacts_resandmgt.htm, NJDEP Division of Fish & Wildlife - Black Bear Research and ...
https://www.odi.org/resources/docs/2875.pdf, Reconciling interests among wildlife  livestock and people
http://eastyorkshirepestcontrol.co.uk/Bird-Control.html, East Yorkshire Pest Control | Bird of prey pest control | Falconry ...
http://www.nrcresearchpress.com/doi/abs/10.1139/x00-128, Exploring the preferences of wildlife recreationists for features of ...
https://source.colostate.edu/americans-tend-to-think-about-wildlife-like-their-ancestors-did/, Americans tend to think about wildlife like their ancestors did ...
https://www.aphis.usda.gov/aphis/ourfocus/wildlifedamage/SA_Program_Overview, USDA APHIS | Wildlife Services
https://www.legislation.qld.gov.au/view/html/inforce/2017-09-01/sl-2006-0206, Nature Conservation (Wildlife) Regulation 2006 - View - Queensland ...
http://myfwc.com/contact/nuisance-wildlife/, FWC - Nuisance Wildlife
https://www.nc3rs.org.uk/wildlife-research, Wildlife research | NC3Rs
http://articles.extension.org/wildlife_damage_management, Wildlife Damage Management - eXtension
https://www.forestry.gov.uk/pdf/FCRP020.pdf/$file/FCRP020.pdf, Recreational use of forests and disturbance of wildlife - Forestry ...
https://www.lantra.co.uk/careers/game-and-wildlife-management, Game and Wildlife Management | Lantra
http://sciencenordic.com/opinion-increasing-border-security-fences-are-lethal-problem-wildlife, OPINION: Increasing border security fences are a lethal problem for ...
http://www.north-slope.org/departments/wildlife-management/wildlife-emergency-response, Wildlife Emergency Response | The North Slope Borough
http://www.cienciaanimal.ufpa.br/CA_selecao/M/2010/biblio/Prod/conservac/chardonnet_et_al_2002.pdf, The value of wildlife
https://oucc.dasa.ncsu.edu/wildlife-sciences-15wscim/, Wildlife Sciences (15WSCIM) |
http://www.jwildlifedis.org/doi/pdf/10.7589/2013-02-031, wildlife disease and risk perception - Journal of Wildlife Diseases
http://www.wildliferesponse.org/, Wildlife Response
https://www.cdc.gov/flu/avianflu/what-cdc-does.htm, What CDC Does About Bird Flu - Centers for Disease Control and ...
http://www.wcasrock.org/index.php/response-enforcement/wildlife, Wildlife | Winnebago County Animal Services
http://rspb.royalsocietypublishing.org/content/280/1750/20122131, Bird traits and response to land-use | Proceedings of the Royal Society ...
https://www.britannica.com/animal/reptile, reptile | animal | Britannica.com
http://www.carepest.com/, Care Pest & Wildlife Control – Vancouver Pest ControlPest Control ...
http://www.pgc.pa.gov/Wildlife/HabitatManagement/WildlifeManagementUnits/Pages/default.aspx, Wildlife Management Units - PA.gov
